--- first setup ---
Valid spectra: 72

--- second setup ---
Valid spectra: 72

--- third setup ---
Valid spectra: 72

=== Combined (216 total spectra) ===
                                      file               timestamp    pol  pointing_idx  az_deg
124  second setup/EOS20260311125616736.csv 2026-03-11 12:56:16.736   0deg            26    52.0
125  second setup/EOS20260311125621236.csv 2026-03-11 12:56:21.236  90deg            26    52.0
126  second setup/EOS20260311125634873.csv 2026-03-11 12:56:34.873   0deg            27    54.0
127  second setup/EOS20260311125639472.csv 2026-03-11 12:56:39.472  90deg            27    54.0
128  second setup/EOS20260311125648643.csv 2026-03-11 12:56:48.643   0deg            28    56.0
129  second setup/EOS20260311125653215.csv 2026-03-11 12:56:53.215  90deg            28    56.0
130  second setup/EOS20260311125657752.csv 2026-03-11 12:56:57.752   0deg            29    58.0
131  second setup/EOS20260311125702352.csv 2026-03-11 12:57:02.352  90deg            29    58.0
132  second setup/EOS20260311125716066.csv 2026-03-11 12:57:16.066   0deg            30    60.0
133  second setup/EOS20260311125720665.csv 2026-03-11 12:57:20.665  90deg            30    60.0
134  second setup/EOS20260311125729748.csv 2026-03-11 12:57:29.748   0deg            31    62.0
135  second setup/EOS20260311125738854.csv 2026-03-11 12:57:38.854  90deg            31    62.0
136  second setup/EOS20260311125743463.csv 2026-03-11 12:57:43.463   0deg            32    64.0
137  second setup/EOS20260311125748086.csv 2026-03-11 12:57:48.086  90deg            32    64.0
138  second setup/EOS20260311125801793.csv 2026-03-11 12:58:01.793   0deg            33    66.0
139  second setup/EOS20260311125806329.csv 2026-03-11 12:58:06.329  90deg            33    66.0
140  second setup/EOS20260311125810934.csv 2026-03-11 12:58:10.934   0deg            34    68.0
141  second setup/EOS20260311125829494.csv 2026-03-11 12:58:29.494  90deg            34    68.0
142  second setup/EOS20260311125834103.csv 2026-03-11 12:58:34.103   0deg            35    70.0
143  second setup/EOS20260311125838787.csv 2026-03-11 12:58:38.787  90deg            35    70.0
144   third setup/EOS20260311130333075.csv 2026-03-11 13:03:33.075   0deg             0     0.0
145   third setup/EOS20260311130351055.csv 2026-03-11 13:03:51.055  90deg             0     0.0
146   third setup/EOS20260311130409434.csv 2026-03-11 13:04:09.434   0deg             1     2.0
147   third setup/EOS20260311130448476.csv 2026-03-11 13:04:48.476  90deg             1     2.0
148   third setup/EOS20260311130506988.csv 2026-03-11 13:05:06.988   0deg             2     4.0
149   third setup/EOS20260311130524764.csv 2026-03-11 13:05:24.764  90deg             2     4.0
150   third setup/EOS20260311130600005.csv 2026-03-11 13:06:00.005   0deg             3     6.0
151   third setup/EOS20260311130618814.csv 2026-03-11 13:06:18.814  90deg             3     6.0
152   third setup/EOS20260311130636163.csv 2026-03-11 13:06:36.163   0deg             4     8.0
153   third setup/EOS20260311130713132.csv 2026-03-11 13:07:13.132  90deg             4     8.0
154   third setup/EOS20260311130730864.csv 2026-03-11 13:07:30.864   0deg             5    10.0
155   third setup/EOS20260311130748887.csv 2026-03-11 13:07:48.887  90deg             5    10.0
156   third setup/EOS20260311130825360.csv 2026-03-11 13:08:25.360   0deg             6    12.0
157   third setup/EOS20260311130842825.csv 2026-03-11 13:08:42.825  90deg             6    12.0
158   third setup/EOS20260311130901148.csv 2026-03-11 13:09:01.148   0deg             7    14.0
159   third setup/EOS20260311130938079.csv 2026-03-11 13:09:38.079  90deg             7    14.0
160   third setup/EOS20260311130956455.csv 2026-03-11 13:09:56.455   0deg             8    16.0
161   third setup/EOS20260311131014713.csv 2026-03-11 13:10:14.713  90deg             8    16.0
162   third setup/EOS20260311131051530.csv 2026-03-11 13:10:51.530   0deg             9    18.0
163   third setup/EOS20260311131109650.csv 2026-03-11 13:11:09.650  90deg             9    18.0
164   third setup/EOS20260311131127812.csv 2026-03-11 13:11:27.812   0deg            10    20.0
165   third setup/EOS20260311131204520.csv 2026-03-11 13:12:04.520  90deg            10    20.0
166   third setup/EOS20260311131222783.csv 2026-03-11 13:12:22.783   0deg            11    22.0
167   third setup/EOS20260311131241154.csv 2026-03-11 13:12:41.154  90deg            11    22.0
168   third setup/EOS20260311131317683.csv 2026-03-11 13:13:17.683   0deg            12    24.0
169   third setup/EOS20260311131335917.csv 2026-03-11 13:13:35.917  90deg            12    24.0
