time_utc,satellite,sat_alt_deg,sat_az_deg,target_alt_deg,target_az_deg,angular_sep_deg,gain_percent
2026-01-13T19:01:21+00:00,NAVSTAR 69 (USA 248),73.96256014126939,77.21349378898061,72.82101933117883,82.49576652152653,1.8917030093323277,80.10055806754654
2026-01-13T19:01:22+00:00,NAVSTAR 69 (USA 248),73.95810614801339,77.23749463137761,72.82415501079137,82.49716043140208,1.8820351442698378,80.28534878272333
2026-01-13T19:01:23+00:00,NAVSTAR 69 (USA 248),73.95365010851765,77.26148462165746,72.82729070045121,82.49855432890725,1.8723706059326952,80.46948050315649
2026-01-13T19:01:24+00:00,NAVSTAR 69 (USA 248),73.94919202428687,77.28546376336904,72.83042640015552,82.49994821404326,1.8627094464134213,80.65294800774444
2026-01-13T19:01:25+00:00,NAVSTAR 69 (USA 248),73.9447318968309,77.30943206007804,72.8335621099042,82.50134208681283,1.8530517188708961,80.83574608955043
2026-01-13T19:01:26+00:00,NAVSTAR 69 (USA 248),73.94026972765867,77.33338951531891,72.83669782969432,82.5027359472172,1.8433974775695856,81.01786955578413
2026-01-13T19:01:27+00:00,NAVSTAR 69 (USA 248),73.93580551827125,77.35733613269761,72.83983355952402,82.50412979525812,1.833746777876019,81.19931322860381
2026-01-13T19:01:28+00:00,NAVSTAR 69 (USA 248),73.93133927017786,77.38127191575272,72.84296929939038,82.50552363093692,1.824099676329655,81.38007194453219
2026-01-13T19:01:29+00:00,NAVSTAR 69 (USA 248),73.9268709848739,77.40519686810407,72.84610504929334,82.50691745425623,1.81445623062575,81.56014055554218
2026-01-13T19:01:30+00:00,NAVSTAR 69 (USA 248),73.92240066386347,77.42911099333053,72.84924080923,82.50831126521719,1.8048164996864906,81.73951392850329
2026-01-13T19:01:31+00:00,NAVSTAR 69 (USA 248),73.9179283086597,77.45301429499878,72.8523765791984,82.50970506382176,1.7951805436866497,81.91818694550057
2026-01-13T19:01:32+00:00,NAVSTAR 69 (USA 248),73.91345392075611,77.47690677672935,72.85551235919569,82.51109885007111,1.785548424052653,82.09615450466023
2026-01-13T19:01:33+00:00,NAVSTAR 69 (USA 248),73.90897750166118,77.50078844212068,72.8586481492218,82.51249262396786,1.7759202035342194,82.2734115196451
2026-01-13T19:01:34+00:00,NAVSTAR 69 (USA 248),73.90449905286005,77.52465929481461,72.86178394927387,82.51388638551337,1.7662959462019203,82.44995292054081
2026-01-13T19:01:35+00:00,NAVSTAR 69 (USA 248),73.90001857586562,77.5485193383953,72.86491975934985,82.51528013470924,1.7566757175340273,82.62577365311645
2026-01-13T19:01:36+00:00,NAVSTAR 69 (USA 248),73.89553607216263,77.5723685765263,72.86805557944697,82.51667387155692,1.747059584391819,82.80086868015358
2026-01-13T19:01:37+00:00,NAVSTAR 69 (USA 248),73.89105154325713,77.5962070128134,72.87119140956516,82.51806759605898,1.7374476151114855,82.97523298065826
2026-01-13T19:01:38+00:00,NAVSTAR 69 (USA 248),73.88656499064415,77.6200346509048,72.87432724970147,82.51946130821658,1.7278398795076708,83.14886155071054
2026-01-13T19:01:39+00:00,NAVSTAR 69 (USA 248),73.88207641582002,77.64385149443785,72.87746309985403,82.52085500803165,1.7182364489296693,83.32174940337455
2026-01-13T19:01:40+00:00,NAVSTAR 69 (USA 248),73.87758582027426,77.66765754709212,72.88059896001981,82.52224869550537,1.70863739628572,83.49389156920817
2026-01-13T19:01:41+00:00,NAVSTAR 69 (USA 248),73.87309320550058,77.69145281249837,72.88373483019893,82.52364237064036,1.6990427961133083,83.66528309596822
2026-01-13T19:01:42+00:00,NAVSTAR 69 (USA 248),73.86859857299191,77.71523729434844,72.88687071038844,82.525036033438,1.6894527245945896,83.83591904932526
2026-01-13T19:01:43+00:00,NAVSTAR 69 (USA 248),73.86410192424806,77.73901099627697,72.8900066005863,82.52642968389985,1.6798672596343038,84.0057945124856
2026-01-13T19:01:44+00:00,NAVSTAR 69 (USA 248),73.8596032607564,77.76277392197834,72.89314250078979,82.52782332202739,1.6702864808671578,84.17490458709406
2026-01-13T19:01:45+00:00,NAVSTAR 69 (USA 248),73.85510258400126,77.78652607514542,72.89627841099875,82.52921694782316,1.6607104697252797,84.34324439309283
2026-01-13T19:01:46+00:00,NAVSTAR 69 (USA 248),73.85059989548681,77.81026745943927,72.89941433121125,82.5306105612888,1.6511393095107711,84.51080906852513
2026-01-13T19:01:47+00:00,NAVSTAR 69 (USA 248),73.84609519667974,77.83399807859344,72.9025502614235,82.53200416242528,1.6415730853880792,84.67759377077229
2026-01-13T19:01:48+00:00,NAVSTAR 69 (USA 248),73.8415884890852,77.85771793627991,72.90568620163435,82.53339775123467,1.63201188451132,84.84359367545463
2026-01-13T19:01:49+00:00,NAVSTAR 69 (USA 248),73.83707977418271,77.88142703621665,72.90882215184111,82.53479132771838,1.6224557960193762,85.00880397767622
2026-01-13T19:01:50+00:00,NAVSTAR 69 (USA 248),73.83256905346101,77.9051253821166,72.91195811204364,82.53618489187889,1.6129049111213023,85.17321989172189
2026-01-13T19:01:51+00:00,NAVSTAR 69 (USA 248),73.82805632840247,77.92881297769944,72.91509408223907,82.53757844371768,1.603359323146671,85.33683665139833
2026-01-13T19:01:52+00:00,NAVSTAR 69 (USA 248),73.82354160049283,77.95248982669054,72.91823006242534,82.5389719832362,1.593819127610607,85.49964951015365
2026-01-13T19:01:53+00:00,NAVSTAR 69 (USA 248),73.81902487121891,77.9761559328213,72.92136605259972,82.54036551043596,1.5842844222741055,85.66165374131288
2026-01-13T19:01:54+00:00,NAVSTAR 69 (USA 248),73.81450614205819,77.99981129982027,72.92450205276212,82.54175902531955,1.5747553072049787,85.82284463833611
2026-01-13T19:01:55+00:00,NAVSTAR 69 (USA 248),73.80998541448737,78.02345593146786,72.92763806290964,82.54315252788813,1.5652318848389863,85.9832175151082
2026-01-13T19:01:56+00:00,NAVSTAR 69 (USA 248),73.8054626899968,78.04708983146682,72.9307740830403,82.54454601814352,1.5557142600826142,86.14276770556589
2026-01-13T19:01:57+00:00,NAVSTAR 69 (USA 248),73.80093797006353,78.07071300360009,72.93391011315119,82.54593949608697,1.5462025403388227,86.30149056466193
2026-01-13T19:01:58+00:00,NAVSTAR 69 (USA 248),73.79641125616602,78.09432545161064,72.93704615324236,82.54733296172115,1.5366968356103923,86.45938146806111
2026-01-13T19:01:59+00:00,NAVSTAR 69 (USA 248),73.79188254978776,78.11792717927428,72.94018220331087,82.5487264150473,1.5271972585675206,86.61643581248126
2026-01-13T19:02:00+00:00,NAVSTAR 69 (USA 248),73.78735185239759,78.14151819036363,72.9433182633547,82.55011985606706,1.5177039246198822,86.7726490159988
2026-01-13T19:02:01+00:00,NAVSTAR 69 (USA 248),73.78281916547671,78.1650984886578,72.94645433337111,82.55151328478189,1.5082169520131523,86.92801651799557
2026-01-13T19:02:02+00:00,NAVSTAR 69 (USA 248),73.77828449049508,78.18866807795004,72.94959041335997,82.55290670119426,1.4987364618978019,87.08253377960894
2026-01-13T19:02:03+00:00,NAVSTAR 69 (USA 248),73.77374782893416,78.21222696201194,72.9527265033184,82.55430010530553,1.489262578439889,87.23619628354126
2026-01-13T19:02:04+00:00,NAVSTAR 69 (USA 248),73.76920918226925,78.23577514464864,72.95586260324444,82.55569349711739,1.4797954288840853,87.38899953469887
2026-01-13T19:02:05+00:00,NAVSTAR 69 (USA 248),73.76466855196972,78.25931262966195,72.95899871313519,82.55708687663113,1.4703351436636938,87.54093906011451
2026-01-13T19:02:06+00:00,NAVSTAR 69 (USA 248),73.76012593950213,78.28283942086789,72.9621348329906,82.55848024384927,1.460881856486669,87.69201040931263
2026-01-13T19:02:07+00:00,NAVSTAR 69 (USA 248),73.75558134635105,78.30635552205254,72.96527096280786,82.55987359877321,1.4514357044655808,87.84220915402624
2026-01-13T19:02:08+00:00,NAVSTAR 69 (USA 248),73.75103477397148,78.32986093707088,72.96840710258498,82.56126694140468,1.4419968281678945,87.99153088924045
2026-01-13T19:02:09+00:00,NAVSTAR 69 (USA 248),73.74648622384869,78.35335566971001,72.97154325231895,82.56266027174483,1.4325653717904845,88.13997123231793
2026-01-13T19:02:10+00:00,NAVSTAR 69 (USA 248),73.74193569743791,78.37683972383708,72.97467941200995,82.56405358979643,1.4231414832028797,88.28752582426593
2026-01-13T19:02:11+00:00,NAVSTAR 69 (USA 248),73.73738319621437,78.40031310326042,72.97781558165495,82.5654468955606,1.413725314125101,88.43419032894141
2026-01-13T19:02:12+00:00,NAVSTAR 69 (USA 248),73.73282872163735,78.42377581183882,72.98095176125204,82.56684018903923,1.4043170201979835,88.57996043401096
2026-01-13T19:02:13+00:00,NAVSTAR 69 (USA 248),73.72827227518641,78.44722785339154,72.98408795079831,82.56823347023344,1.3949167611535827,88.72483185041506
